ID;اسم الفرع / المنفذ;نوع المرفق;العنوان;رابط الاتجاهات;خط العرض (Latitude);خط الطول (Longitude)
AZ-UF-BR-0206;كارفور-رويال بلازا;منفذ بيع;العمراوي ، قسم المنتزه .;https://goo.gl/maps/X6KTdPBLC9vosphT7;31.282560300;30.022920000
AZ-UF-BR-0207;كارفور-زيزينيا;منفذ بيع;230 شارع الاهرام - العمرانية - الهرم، الجيزة;https://goo.gl/maps/X8PRceRYeGhNJzky5;29.998586700;31.171295800
AZ-UF-BR-0208;كارفور-سيتي لايت;منفذ بيع;أمين حسونة، السيوف قبلي ، قسم ثان المنتزة.;https://goo.gl/maps/pGRANUYnyPbBMs3U8;31.245658700;29.994489000
AZ-UF-BR-0209;كارفور-طرة الأسمنت;منفذ بيع;٥٥ كورنيش النيل، طرة الأسمنت، المعادي;https://goo.gl/maps/M8gRuY2H26spMKZX7;29.929141600;31.281648900
AZ-UF-BR-0210;كارفور-طنطا;منفذ بيع;طريق طنطا - المحلة الكبري، طنطا,الغربية;https://goo.gl/maps/E6wCFYZTcNe6w1oq8;30.804449600;31.022800600
AZ-UF-BR-0211;كارفور-كفر عبده;منفذ بيع;أبو النواطير - سيدي جابر، الأسكندرية;https://goo.gl/maps/HVYx19sMDzGTFVxS6;31.224792600;29.950207500
AZ-UF-BR-0212;كارفور-مول العروبة;منفذ بيع;طريق مطار برج العرب - الساحل الشمالى، الذراع البحري، قسم برج العرب;https://goo.gl/maps/LwJnfMgw73GQQqzR7;31.006516100;29.636956500
AZ-UF-BR-0213;كارفور-ميجا مول;منفذ بيع;كارفور میجا مول – التجمع الخامس;https://goo.gl/maps/Pyu7w1onEUXwidoz5;29.979098900;31.434088200
AZ-UF-BR-0214;كايرو فيستيفال سيتي 1;فرع أبو عوف;تقاطع الدائري مع شارع التسعين، امام النافوره بجوار اكاديمية الشرطة;https://goo.gl/maps/gMdKQZVhuY1tGbqb6;30.028863000;31.407785000
AZ-UF-BR-0215;كايرو فيستيفال سيتي 2;فرع أبو عوف;تقاطع الدائري مع شارع التسعين، امام النافوره بجوار اكاديمية الشرطة;https://goo.gl/maps/ea2n2gkGVzUvfgUZ8;30.028120000;31.407466000
AZ-UF-BR-0216;كروس تن مول;فرع أبو عوف;كروس تن مول بجوار هايبر وان;https://goo.gl/maps/YT6fPxgf2ja8j96B7;30.242119900;31.725490700
AZ-UF-BR-0217;كفر الشيخ;فرع أبو عوف;كفر الشيخ - شارع الجامعه امام كليه تربيه;https://maps.app.goo.gl/gLvHTFZax8DWi4Hz8;31.102659700;30.946278700
AZ-UF-BR-0218;كفر عبده;فرع أبو عوف;23 شارع سانت جيني ، كفر عبده ، أبو النواتير ، سيدي جابر;https://goo.gl/maps/2QzBsb5m5sifvyoa9;31.224716500;29.952751800
AZ-UF-BR-0219;كلية البنات;منفذ بيع;كلية البنات- الميرغنى- داخل الكلية;https://maps.app.goo.gl/oJc4GeXNtvpCGhuRA;30.083600000;31.328900000
AZ-UF-BR-0220;كلية تربية;منفذ بيع;كلية تربية أمام بنزينة شيل أوت روكسى داخل الكلية;https://maps.app.goo.gl/jeu5QFPEp1jUtSRF6;30.091770800;31.310457500
